品牌,店名,地址,電話
茶湯會,台中中友店,台中市北區三民路三段161號B棟B3,04-22256488
茶湯會,中友店,台中市北區中友百貨C棟三民路三段161號,04-22256488
茶湯會,台中北平店,台中市北區北平路二段92號,04-22963333
茶湯會,台中學士店,台中市北區學士路161號,04-22077317
茶湯會,台中一中店,台中市北區新北里一中街213號,04-22220010
茶湯會,台中漢陽店,台中市北區明新里漢口路三段176號1樓,04-22924017
茶湯會,漢口店,台中市北區漢口路四段377號,04-22350812
茶湯會,台中漢口店,台中市北區頂厝里漢口路四段377號1樓,04-22350812
茶湯會,台中水湳店,台中市北屯區中清路二段212號,04-22953580
茶湯會,台中昌平店,台中市北屯區昌平路一段426號,04-22430043
茶湯會,台中東山店,台中市北屯區東山路一段289之9號,04-22396967
茶湯會,台中大慶店,台中市南區大慶街2段6之11號,04-22653339
茶湯會,台中工學店,台中市南區工學路26號,04-22636608
茶湯會,台中南屯店,台中市南屯區同心里南屯路二段220號1樓,04-24722022
茶湯會,台中向上二店(輕食限定),台中市南屯區向上路二段436-2號,04-23801127
茶湯會,台中向心店,台中市南屯區向心里向心南路941號1樓,04-23862855
茶湯會,台中大墩店,台中市南屯區大墩路740號,04-23285750
茶湯會,嶺東店,台中市南屯區永春南路68號,04-23808258
茶湯會,台中嶺東店,台中市南屯區永春南路68號1樓,04-23808258
茶湯會,文心秀泰店,台中市南屯區豐樂里文心南路289號,04-24736579
茶湯會,黎明文昌店,台中市南屯區黎明路一段1002號,04-23809588
茶湯會,台中黎明店,台中市南屯區黎明路二段502號,04-22598859
茶湯會,后里三豐店,台中市后里區三豐路291號,04-25582816
茶湯會,后里三豐店,台中市后里區三豐路三段975號,04-25582816
茶湯會,大甲蔣公店,台中市大甲區蔣公路145號,04-26889118
茶湯會,大肚沙田店,台中市大肚區沙田路二段758號,04-26998187
茶湯會,台中遊園店(輕食限定),台中市大肚區遊園路二段267號,04-26918699
茶湯會,大里中興店,台中市大里區中興路二段388號,04-24832926
茶湯會,大里塗城店,台中市大里區塗城路737號,04-24927722
茶湯會,大里益民店,台中市大里區益民路二段253號,04-24821770
茶湯會,大雅學府店,台中市大雅區學府路235之1號,04-25669816
茶湯會,大雅學府店,台中市大雅區學府路237號,04-25669816
茶湯會,太平中山三店,台中市太平區中山路三段138號,04-23926099
茶湯會,太平中興店,台中市太平區中興路144號,04-22753881
茶湯會,台中東勢店,台中市東勢區三民街145號,04-25878666
茶湯會,台中大智店,台中市東區大智路5號,04-22232332
茶湯會,沙鹿中山店,台中市沙鹿區中山路441號,04-26620299
茶湯會,清水中山店,台中市清水區中山路132號,04-26233699
茶湯會,潭子勝利店,台中市潭子區勝利路330號,04-25350512
茶湯會,烏日中山店,台中市烏日區中山路一段436號,04-23380201
茶湯會,神岡中山店,台中市神岡區昌平路五段488號,04-25633537
茶湯會,台中公益店(輕食限定),台中市西區中興里公益路122號1樓,04-23268548
茶湯會,公益店,台中市西區公益路122號,04-23268548
茶湯會,勤美誠品店,台中市西區公益路68號B1,04-23213221
茶湯會,台中向上店,台中市西區公益里向上路一段202號1F,04-23051877
茶湯會,向上店,台中市西區向上路一段202號,04-23051877
茶湯會,台中民生店,台中市西區民生路130號,04-22259868
茶湯會,台中精誠店,台中市西區精誠路43之7號,04-23204749
茶湯會,台中美村店,台中市西區美村路一段638號,04-23751375
茶湯會,台中自由店(輕食限定),台中市西區自由路一段105號,04-22252820
茶湯會,台中友達店,台中市西屯區中科路1號,04-24608800#4446
茶湯會,友達店,台中市西屯區友達二期廠 員工餐廳(只服務廠區人員 不對外營業),04-24608800
茶湯會,台中三越店,台中市西屯區台灣大道三段301號12樓,04-22583891
茶湯會,台中榮總店,台中市西屯區台灣大道四段1650號住院大樓美食廣場,04-23550012
茶湯會,台中朝富店(輕食限定),台中市西屯區朝富路40號,04-22540381
茶湯會,台中河南店,台中市西屯區河南路二段354號1樓,04-24512521
茶湯會,台中中科店,台中市西屯區西屯路三段166-6號,04-24618687
茶湯會,台中西屯店,台中市西屯區西屯路二段27-2號,04-23170288
茶湯會,逢甲店,台中市西屯區西屯路二段295-22號,04-24518151
茶湯會,豐原三民店,台中市豐原區三民路181號,04-25251988
茶湯會,豐原府前店,台中市豐原區府前街55號,04-25281898
茶湯會,霧峰中正店,台中市霧峰區中正路845號,04-23399390
茶湯會,東海店,台中市龍井區新興路3-1號,04-26335528
色杯子絕色飲舖,台中復興店,台中市南區復興路一段489號,04-2260-9191
橘子工坊,台中一中店,台中市北區太平路87號,04-2225-6667
橘子工坊,台中SOGO店,台中市西區美村路一段37號,04-2326-1010
橘子工坊,台中逢甲,台中市西屯區文華路10-10號,04-24513330
黑丸,台中大里店,台中市大里區塗城路756號,0974-015846
COCO都可,台中后里店,台中市后里區甲后路一段337號,04- 2558-5682
COCO都可,台中大甲店,台中市大甲區蔣公路203號,04-2688-8806
COCO都可,台中大里店,台中市大里區塗城路496號,04-2496-8109
COCO都可,台中太平店,台中市太平區中山路一段292號,04-2393-2379
COCO都可,台中靜宜店,台中市沙鹿區北勢東路609號,04-26312585
COCO都可,台中美村店,台中市西區美村路一段89號,04-2310-6616
COCO都可,台中東海店,台中市龍井區新興路38-2號,04-26321221
春水堂,三越店,台中市中西屯區港路二段111號（新光三越百貨9樓）,04-22546909
春水堂,中友店,台中市北區三民路三段161號C棟B2,04-22258673
春水堂,中友店,台中市北區三民路三段161號C棟B2樓,04-22258673
春水堂,育才北店,台中市北區育才北路61號,04-22200339
春水堂,崇德店,台中市北屯區崇德路3段400號,04-24227047
春水堂,經國店,台中市南屯區公益路155巷17號,04-23028530
春水堂,豐樂店,台中市南屯區文心南五路321號,04-24718005
春水堂,豐樂店,台中市南屯區文心南五路321號之13,04-24718005
春水堂,秀泰文心店,台中市南屯區豐樂里25鄰文心南路289號2樓,04-24735367
春水堂,秀泰店,台中市東區南京路76號1樓,04-22155779
春水堂,新時代店(新時代購物中心2F),台中市東區復興路四段186號,04-22272712
春水堂,新時代店,台中市東區復興路四段186號2樓,04-22272712
春水堂,國美店,台中市西區五權西路一段2號,04-23763342
春水堂,國美店,台中市西區五權西路一段2號B1樓,04-23763342
春水堂,金典店,台中市西區健行路1049號,04-23261805
春水堂,金典店,台中市西區健行路1049號4樓,04-23261805
春水堂,公益店,台中市西區公益路155巷17號,04-23028530
